SKU_CODE,PRODUCT_NAME,COLOUR,CATEGORY,SUB_CATEGORY,TAGS,COLLECTIVE_SET,COST_PRICE,SELL_PRICE
SKU0054,Concrete Laundry Hamper,Navy,Storage,Basket,"[""scandinavian"", ""space-saving"", ""navy"", ""classic"", ""concrete"", ""lighting""]","[""boho chic set"", ""home essentials""]",24.03,59.34
SKU0055,Microfiber Drawer Cabinet,Brown,Furniture,Storage,"[""microfiber"", ""eco-friendly"", ""stylish"", ""brown"", ""essential""]","[""boho chic set"", ""bathroom essentials"", ""designer's choice""]",333.56,514.26
SKU0056,Crystal Wall Sconce,Mustard Yellow,Lighting,Wall Sconce,"[""minimalist"", ""adjustable"", ""mustard yellow"", ""storage"", ""industrial"", ""unique"", ""crystal""]","[""modern minimalist vibe"", ""bathroom essentials"", ""home essentials""]",374.17,769.98
SKU0057,Jute Turkish Bath Towel,Red,Bathroom,Towel Set,"[""durable"", ""jute"", ""red"", ""rustic"", ""industrial"", ""bathroom"", ""unique"", ""lighting""]","[""complete decor kit""]",193.44,367.12
SKU0058,Set of 6 Napkins,Charcoal,Textiles,Table Linen,"[""charcoal"", ""classic"", ""soft"", ""handmade""]","[""dining collection"", ""designer's choice"", ""industrial loft look""]",447.40,1234.84
SKU0059,Classic Abstract Figurine,Bronze,Art,Sculpture,"[""scandinavian"", ""bronze"", ""classic"", ""contemporary"", ""comfort""]","[""home essentials""]",303.84,793.66
SKU0060,Apex Dust Proof Emulsion,Brown,Paints,Exterior Paints,"[""soft"", ""paint"", ""renovation"", ""bohemian"", ""wall treatment"", ""stylish"", ""brown"", ""comfort""]","[""modern minimalist vibe"", ""complete decor kit"", ""painting project kit"", ""home renovation supplies""]",223.73,341.96
SKU0061,Elegant Sheer Linen Curtains,Sage Green,Home Necessities,Curtains,"[""minimalist"", ""sage green"", ""farmhouse"", ""seating"", ""linen"", ""classic"", ""essential"", ""comfort"", ""home""]","[""curated collection""]",299.47,626.30
SKU0062,Iron Bathroom Vanity,Emerald,Furniture,Vanity,"[""scandinavian"", ""farmhouse"", ""bathroom"", ""stylish"", ""emerald"", ""iron"", ""comfort""]","[""designer's choice""]",39.42,91.54
SKU0063,Spacious Chandelier,Pink,Lighting,Ceiling Lamp,"[""classic"", ""pink"", ""portable"", ""bohemian""]","[""home essentials""]",143.19,345.75
SKU0064,Hypoallergenic Leather Loveseat,Charcoal,Home Necessities,Sofas,"[""scandinavian"", ""handmade"", ""leather"", ""charcoal"", ""classic"", ""essential"", ""contemporary"", ""comfort""]","[""living room seating solution"", ""home essentials""]",352.92,968.07
SKU0065,Elegant Animal Figurine,Bronze,Decor,Figurine,"[""farmhouse"", ""soft"", ""durable"", ""bronze"", ""rustic"", ""ambient"", ""home""]","[""modern minimalist vibe"", ""outdoor living"", ""designer's choice""]",179.38,483.88
SKU0066,Direct to Metal Protective Paint,Navy,Paints,Metal Finishes,"[""space-saving"", ""farmhouse"", ""metal"", ""paint"", ""renovation"", ""storage"", ""navy"", ""wall treatment"", ""stylish"", ""classic""]","[""painting project kit"", ""designer's choice"", ""home renovation supplies""]",301.99,755.10
SKU0067,Marble Kitchen Cart,Rust,Storage,Utility Cart,"[""storage"", ""ambient"", ""decor"", ""marble"", ""unique"", ""kitchen"", ""contemporary"", ""rust""]","[""complete decor kit""]",100.47,230.54
SKU0068,Direct to Metal Protective Paint,Maple,Paints,Metal Finishes,"[""farmhouse"", ""durable"", ""paint"", ""metal"", ""renovation"", ""eco-friendly"", ""maple"", ""unique"", ""coastal"", ""wall treatment""]","[""home renovation supplies"", ""curated collection"", ""painting project kit"", ""industrial loft look""]",384.73,1131.85
SKU0069,Royale Matt Finish,Sage Green,Paints,Interior Paints,"[""minimalist"", ""sage green"", ""paint"", ""renovation"", ""eco-friendly"", ""unique"", ""coastal"", ""wall treatment""]","[""home renovation supplies"", ""complete decor kit"", ""painting project kit"", ""industrial loft look""]",262.76,783.51
SKU0070,Stylish Wall Sconce,Emerald,Lighting,Wall Sconce,"[""minimalist"", ""industrial"", ""ambient"", ""seating"", ""stylish"", ""emerald""]","[""curated collection"", ""bathroom essentials""]",298.86,658.69
SKU0071,Cotton Mail Holder,Gold,Storage,Wall Organizer,"[""scandinavian"", ""space-saving"", ""modern"", ""soft"", ""cotton"", ""gold"", ""classic""]","[""curated collection""]",294.25,585.11
SKU0072,Glass Bedside Lamp,Silver,Lighting,Table Lamp,"[""scandinavian"", ""glass"", ""soft"", ""silver"", ""bedroom"", ""unique"", ""contemporary""]","[""living room set"", ""boho chic set"", ""curated collection""]",81.86,190.13
SKU0073,Minimalist Oil Painting (30x40),Copper,Art,Painting,"[""unique"", ""copper"", ""bohemian"", ""lighting""]","[""curated collection""]",54.23,133.01
SKU0074,Waffle Weave Shower Curtain,Navy,Bathroom,Shower Curtain,"[""soft"", ""storage"", ""giftable"", ""bathroom"", ""navy""]","[""modern minimalist vibe"", ""designer's choice""]",318.50,800.59
SKU0075,Elegant Plush Fleece Blanket,Silver,Home Necessities,Blankets,"[""scandinavian"", ""silver"", ""ambient"", ""bedroom"", ""essential"", ""comfort"", ""home""]","[""glamorous accents"", ""sleep well set"", ""bedroom decor"", ""bedroom comfort bundle"", ""designer's choice""]",86.94,149.88
SKU0076,Mahogany Dining Table,Pink,Furniture,Table,"[""modern"", ""mahogany"", ""eco-friendly"", ""pink"", ""rustic"", ""bohemian"", ""seating""]","[""designer's choice""]",234.34,487.02
SKU0077,Ace Advanced Exterior Emulsion,Natural,Paints,Exterior Paints,"[""paint"", ""adjustable"", ""renovation"", ""unique"", ""wall treatment"", ""natural"", ""glam""]","[""curated collection"", ""painting project kit"", ""home renovation supplies""]",34.95,99.63
SKU0078,Waffle Weave Shower Curtain,Terracotta,Bathroom,Shower Curtain,"[""durable"", ""portable"", ""bathroom"", ""terracotta"", ""home""]","[""home essentials""]",142.70,399.05
SKU0079,Rattan Wall Clock,Beige,Decor,Clock,"[""beige"", ""rattan"", ""soft"", ""decor""]","[""dining collection"", ""home essentials""]",245.47,687.74
SKU0080,Unique Towel Set (6-piece),Pine,Bathroom,Towel Set,"[""modern"", ""farmhouse"", ""rustic"", ""bathroom"", ""seating"", ""pine"", ""classic"", ""essential""]","[""curated collection"", ""industrial loft look""]",356.63,1020.95
SKU0081,Bohemian Duvet Cover Set (Queen),Silver,Textiles,Bedding,"[""scandinavian"", ""minimalist"", ""silver"", ""functional"", ""seating"", ""lighting""]","[""boho chic set"", ""outdoor living"", ""complete decor kit""]",246.56,514.02
SKU0082,Faux Fur Throw,Gold,Textiles,Throw Blanket,"[""farmhouse"", ""durable"", ""adjustable"", ""eco-friendly"", ""gold"", ""giftable""]","[""nursery decor"", ""home essentials""]",429.78,1264.54
SKU0083,Plush Abstract Canvas Print,Ivory,Art,Wall Decor,"[""ivory"", ""modern"", ""durable"", ""handmade""]","[""home essentials""]",330.23,511.61
SKU0084,Classic Chandelier,Orange,Lighting,Ceiling Lamp,"[""soft"", ""bohemian"", ""decor"", ""orange"", ""comfort""]","[""outdoor living"", ""industrial loft look"", ""home essentials""]",296.09,515.15
SKU0085,Crystal Storage Bin with Lid,Rust,Storage,Bin,"[""portable"", ""giftable"", ""decor"", ""crystal"", ""rust""]","[""modern minimalist vibe"", ""home essentials""]",255.56,656.02
SKU0086,Set of 2 Down Alternative Pillows,Green,Home Necessities,Pillows,"[""minimalist"", ""adjustable"", ""green"", ""portable"", ""bedroom"", ""stylish"", ""essential"", ""contemporary"", ""comfort""]","[""curated collection"", ""bathroom essentials"", ""modern minimalist vibe"", ""sleep well set"", ""bedroom comfort bundle""]",153.42,245.99
SKU0087,Functional Leather Loveseat,Oak,Home Necessities,Sofas,"[""minimalist"", ""modern"", ""eco-friendly"", ""oak"", ""leather"", ""essential"", ""comfort""]","[""living room seating solution"", ""nursery decor"", ""home essentials""]",88.50,138.82
SKU0088,Vintage Rattan Pendant Light,Lavender,Lighting,Pendant Light,"[""soft"", ""lavender"", ""storage"", ""bohemian"", ""giftable"", ""rattan""]","[""curated collection"", ""bedroom decor""]",80.25,230.93
SKU0089,Apex Ultima Protek Weatherproof,Emerald,Paints,Exterior Paints,"[""paint"", ""adjustable"", ""renovation"", ""coastal"", ""wall treatment"", ""emerald"", ""classic""]","[""home renovation supplies"", ""painting project kit"", ""glamorous accents"", ""home essentials""]",334.78,869.52
SKU0090,Universal Wood Primer,Lavender,Paints,Primers,"[""scandinavian"", ""minimalist"", ""modern"", ""lavender"", ""paint"", ""renovation"", ""ambient"", ""functional"", ""wall treatment"", ""wood""]","[""home renovation supplies"", ""complete decor kit"", ""painting project kit"", ""industrial loft look""]",427.02,1270.27
SKU0091,Chic Floor Lamp,Lavender,Lighting,Floor Lamp,"[""lavender"", ""storage"", ""rustic"", ""decor"", ""classic""]","[""nursery decor"", ""curated collection""]",428.30,929.40
SKU0092,Metal Storage Unit,Turquoise,Furniture,Storage,"[""scandinavian"", ""metal"", ""storage"", ""turquoise"", ""classic"", ""glam""]","[""dining collection"", ""designer's choice""]",248.27,654.56
SKU0093,Industrial Animal Figurine,Maple,Decor,Figurine,"[""farmhouse"", ""soft"", ""maple"", ""functional"", ""classic"", ""glam""]","[""bathroom essentials"", ""designer's choice""]",244.58,656.98
SKU0094,Elegant Microfiber Bedsheet,Bronze,Home Necessities,Bedsheets,"[""microfiber"", ""modern"", ""bronze"", ""bohemian"", ""bedroom"", ""coastal"", ""seating"", ""essential"", ""comfort""]","[""sleep well set"", ""bedroom comfort bundle"", ""home essentials""]",27.66,62.64
SKU0095,Accent Storage Cabinet,Red,Storage,Cabinet,"[""red"", ""comfort"", ""adjustable"", ""decor""]","[""complete decor kit""]",372.13,563.53
SKU0096,Scandinavian Decorative Figurine,Brown,Decor,Figurine,"[""industrial"", ""seating"", ""stylish"", ""brown"", ""contemporary""]","[""home essentials""]",206.25,543.69
SKU0097,Linen Wall Shelf,Pine,Furniture,Shelving,"[""scandinavian"", ""modern"", ""soft"", ""ambient"", ""functional"", ""pine"", ""linen""]","[""modern minimalist vibe"", ""bedroom decor"", ""complete decor kit""]",321.29,915.09
SKU0098,Corner Wall Shelf,Pine,Storage,Shelf,"[""ambient"", ""pine"", ""comfort"", ""giftable""]","[""home essentials""]",211.77,347.30
SKU0099,Apex Ultima Protek Weatherproof,Transparent,Paints,Exterior Paints,"[""transparent"", ""space-saving"", ""modern"", ""durable"", ""paint"", ""renovation"", ""wall treatment"", ""comfort""]","[""boho chic set"", ""home renovation supplies"", ""painting project kit"", ""home essentials""]",18.20,45.20
SKU0100,Cozy Vanity Mirror,Pine,Decor,Mirror,"[""durable"", ""handmade"", ""functional"", ""seating"", ""pine"", ""contemporary"", ""glam""]","[""bathroom essentials"", ""designer's choice""]",248.87,474.96
SKU0101,Tranquil Agate Drink Coaster,Indigo,Decor,Coaster,"[""indigo"", ""farmhouse"", ""portable"", ""industrial"", ""decor""]","[""outdoor living"", ""designer's choice""]",170.83,350.88
SKU0102,Apcolite Premium Gloss Enamel,Oak,Paints,Enamels,"[""adjustable"", ""paint"", ""renovation"", ""ambient"", ""oak"", ""coastal"", ""wall treatment"", ""classic"", ""glam""]","[""modern minimalist vibe"", ""painting project kit"", ""designer's choice"", ""home renovation supplies""]",140.30,338.69
SKU0103,Rustic Fog-Free Shower Mirror,Navy,Bathroom,Vanity Mirror,"[""minimalist"", ""adjustable"", ""bathroom"", ""coastal"", ""navy"", ""home""]","[""industrial loft look"", ""home essentials""]",62.97,113.55
SKU0104,Chic Wall Sconce,Bronze,Lighting,Wall Sconce,"[""minimalist"", ""bronze"", ""ambient"", ""giftable"", ""seating"", ""contemporary""]","[""bathroom essentials"", ""home essentials""]",218.42,441.45
SKU0105,Royale Touch Wood Varnish,Charcoal,Paints,Wood Finishes,"[""farmhouse"", ""paint"", ""renovation"", ""functional"", ""unique"", ""seating"", ""wall treatment"", ""charcoal"", ""wood""]","[""home renovation supplies"", ""painting project kit"", ""home essentials""]",102.68,241.09
SKU0106,Set of 5 Cooking Spoons,White,Kitchen,Utensils,"[""scandinavian"", ""durable"", ""white"", ""eco-friendly"", ""bohemian"", ""stylish"", ""kitchen""]","[""complete decor kit""]",20.08,44.17
SKU0107,Elegant Orthopedic Cervical Pillow,Lavender,Home Necessities,Pillows,"[""lavender"", ""storage"", ""bedroom"", ""classic"", ""essential"", ""comfort""]","[""nursery decor"", ""sleep well set"", ""complete decor kit"", ""bedroom comfort bundle""]",244.99,403.06
SKU0108,Acrylic Bathroom Vanity,Terracotta,Furniture,Vanity,"[""scandinavian"", ""handmade"", ""rustic"", ""decor"", ""bathroom"", ""acrylic"", ""classic"", ""terracotta""]","[""living room set"", ""complete decor kit""]",210.22,596.86
SKU0109,Fabric Drawer Cabinet,Brown,Furniture,Storage,"[""minimalist"", ""industrial"", ""giftable"", ""seating"", ""brown"", ""fabric""]","[""industrial loft look"", ""bathroom essentials"", ""home essentials""]",358.95,811.72
SKU0110,Vintage Fleece Blanket,Maple,Textiles,Throw Blanket,"[""essential"", ""rustic"", ""maple"", ""decor""]","[""glamorous accents"", ""office setup"", ""designer's choice""]",389.04,669.52
SKU0111,Set of 3 Indoor Planters,Bronze,Decor,Planter,"[""scandinavian"", ""soft"", ""durable"", ""bronze"", ""unique"", ""comfort"", ""glam""]","[""office setup"", ""curated collection""]",183.51,411.96
SKU0112,Memory Foam Bath Rug,Bronze,Bathroom,Bath Mat,"[""bronze"", ""portable"", ""industrial"", ""bohemian"", ""giftable"", ""bathroom"", ""classic"", ""memory foam""]","[""complete decor kit""]",120.38,320.29
SKU0113,Bamboo Cutlery Tray,Sage Green,Storage,Drawer Organizer,"[""sage green"", ""bohemian"", ""seating"", ""bamboo"", ""comfort"", ""home""]","[""complete decor kit""]",253.44,619.29
SKU0114,Linen Toaster Oven,Charcoal,Kitchen,Appliances,"[""scandinavian"", ""adjustable"", ""kitchen"", ""charcoal"", ""linen"", ""home"", ""lighting"", ""glam""]","[""curated collection"", ""rustic retreat collection""]",118.09,197.94
SKU0115,Direct to Metal Protective Paint,Silver,Paints,Metal Finishes,"[""minimalist"", ""metal"", ""silver"", ""adjustable"", ""paint"", ""renovation"", ""eco-friendly"", ""unique"", ""coastal"", ""wall treatment""]","[""home renovation supplies"", ""painting project kit"", ""home essentials""]",23.93,64.66
SKU0116,Walnut Storage Bed,Rust,Furniture,Bed,"[""minimalist"", ""walnut"", ""durable"", ""bedroom"", ""seating"", ""stylish"", ""rust""]","[""curated collection""]",144.24,404.59
SKU0117,Metal Wall Sconce,Silver,Lighting,Wall Sconce,"[""scandinavian"", ""modern"", ""metal"", ""silver"", ""adjustable"", ""lighting""]","[""living room set"", ""complete decor kit""]",75.28,131.00
SKU0118,Compact LED Vanity Mirror,Terracotta,Bathroom,Vanity Mirror,"[""ambient"", ""functional"", ""bathroom"", ""essential"", ""terracotta""]","[""curated collection"", ""glamorous accents""]",99.53,194.69
SKU0119,Royale Touch Wood Varnish,Gold,Paints,Wood Finishes,"[""durable"", ""paint"", ""renovation"", ""industrial"", ""ambient"", ""rustic"", ""gold"", ""wall treatment"", ""stylish"", ""wood""]","[""home renovation supplies"", ""rustic retreat collection"", ""painting project kit"", ""home essentials""]",240.91,462.40
SKU0120,Royale Touch Wood Varnish,Natural,Paints,Wood Finishes,"[""durable"", ""handmade"", ""paint"", ""renovation"", ""coastal"", ""wall treatment"", ""wood"", ""natural""]","[""painting project kit"", ""designer's choice"", ""home renovation supplies""]",306.26,790.02
SKU0121,Art Deco Memory Foam Mattress (Queen),Floral,Home Necessities,Mattress,"[""modern"", ""handmade"", ""eco-friendly"", ""industrial"", ""bedroom"", ""essential"", ""memory foam"", ""comfort"", ""floral""]","[""sleep well set"", ""bedroom comfort bundle"", ""home essentials""]",145.97,219.02
